Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
CO1 9LP,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2011-02-01,2014-03-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9LQ,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2011-02-01,2012-02-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9LR,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2011-02-01,2012-04-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9LS,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2011-05-01,2017-05-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9LT,Yes,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2019-09-01,,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9LU,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2011-05-01,2013-12-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9LW,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2011-06-01,2012-07-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9LX,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2011-07-01,2018-08-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9LY,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2011-08-01,2012-08-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9LZ,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2011-08-01,2012-03-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9NA,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2011-08-01,2012-09-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9NB,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2011-09-01,2012-02-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9ND,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2011-09-01,2014-10-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9NE,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2011-09-01,2013-09-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9NF,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2011-09-01,2015-10-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9NG,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2011-10-01,2016-11-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9NH,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2011-10-01,2012-11-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9NJ,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2011-11-01,2015-01-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9NL,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2011-11-01,2018-12-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9NN,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2011-11-01,2012-02-01,7,England,2025-02-26,Imputed by ONS by reference to surrounding postcode grid references,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9NP,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2011-12-01,2013-01-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9NQ,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2012-02-01,2013-03-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9NR,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2012-02-01,2015-02-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9NS,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2012-03-01,2014-04-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9NT,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2012-07-01,2018-12-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9NU,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2012-07-01,2014-08-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9NW,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2012-08-01,2015-05-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9NX,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2012-10-01,2012-12-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9NY,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2013-03-01,2013-12-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9NZ,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2012-12-01,2014-11-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PA,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2013-01-01,2013-09-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9PB,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2013-02-01,2020-04-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PD,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2013-02-01,2014-03-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 9PE,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2013-02-01,2015-03-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PF,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2020-04-01,2021-02-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PG,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2013-04-01,2019-05-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PH,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2013-05-01,2014-06-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PL,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2014-02-01,2018-12-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PN,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2014-03-01,2021-07-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PP,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2014-03-01,2014-10-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PQ,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2014-06-01,2021-08-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PR,Yes,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2024-09-01,,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PS,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2014-08-01,2014-09-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PT,Yes,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2018-02-01,,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PU,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2015-02-01,2016-03-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PW,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2015-02-01,2019-03-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PX,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2015-02-01,2016-03-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PY,Yes,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2021-05-01,,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9PZ,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2015-05-01,2015-12-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QA,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2015-07-01,2019-08-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QB,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2015-08-01,2017-09-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QD,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2015-10-01,2017-02-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QE,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2015-11-01,2016-05-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QF,Yes,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2015-12-01,,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QG,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2016-03-01,2016-09-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QH,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2016-05-01,2016-12-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QJ,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2016-07-01,2017-02-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QL,No,51.816996,0.745399,589326,216716,TL893167,Tiptree,Tiptree,2016-07-01,2016-08-01,60,England,2025-02-26,Imputed by ONS by reference to surrounding postcode grid references,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QN,Yes,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2024-01-01,,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QP,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2016-09-01,2017-10-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QQ,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2016-10-01,2019-10-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QR,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2016-10-01,2017-11-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QS,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2016-11-01,2017-05-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QT,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2017-01-01,2017-07-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QU,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2017-01-01,2017-08-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QW,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2021-03-01,2022-04-01,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QX,Yes,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2017-02-01,,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QY,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2017-02-01,2020-04-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9QZ,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2017-03-01,2018-04-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RB,Yes,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2017-04-01,,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RD,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2017-04-01,2017-11-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RE,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2017-04-01,2017-09-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RF,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2018-08-01,2021-02-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RG,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2017-07-01,2018-12-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RH,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2017-07-01,2018-03-01,60,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RJ,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2017-08-01,2018-03-01,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RL,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2017-10-01,2018-05-01,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RN,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2017-10-01,2018-05-01,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RP,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2017-12-01,2018-02-01,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RQ,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2017-12-01,2019-01-01,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RR,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2018-02-01,2018-09-01,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RS,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2018-02-01,2019-03-01,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RU,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2018-04-01,2019-05-01,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RW,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2018-04-01,2019-05-01,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RX,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2018-06-01,2019-01-01,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RY,Yes,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2018-05-01,,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9RZ,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2018-06-01,2018-07-01,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9SA,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SB,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SD,Yes,51.889804,0.898860,599579,225221,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SE,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SF,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SG,No,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,2017-07-01,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SH,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SJ,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SL,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SN,Yes,51.889804,0.898860,599579,225221,TL995252,Castle,"Colchester, unparished area",2022-02-01,,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SP,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SQ,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SR,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SS,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9ST,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SU,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SW,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SX,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SY,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9SZ,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9TA,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9TB,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9TD,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9TE,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9TF,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9TG,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9TH,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9TJ,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9TL,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9TN,Yes,51.889793,0.898830,599577,225220,TL995252,Castle,"Colchester, unparished area",2005-02-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 9TP,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2021-05-01,2021-09-01,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9TR,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2018-11-01,2020-01-01,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9TS,No,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2018-11-01,2019-07-01,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9TT,Yes,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2018-12-01,,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
CO1 9TU,Yes,51.817005,0.745427,589328,216717,TL893167,Tiptree,Tiptree,2019-01-01,,58,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021727,Colchester 020E,E01021727,Colchester 020E
